Error: That port is already in use.
[14/Jul/2019 20:40:58] "GET /admin/jsi18n/ HTTP/1.1" 200 7800
[14/Jul/2019 20:41:02] "GET /admin/ HTTP/1.1" 200 8422
[14/Jul/2019 20:41:03] "GET /admin/rules/rulelist/2/change/ HTTP/1.1" 200 7153
[14/Jul/2019 20:41:03] "GET /admin/jsi18n/ HTTP/1.1" 200 7800
[14/Jul/2019 20:41:05] "GET /admin/ HTTP/1.1" 200 8422
[14/Jul/2019 20:41:06] "GET /admin/rules/rulelist/2/change/ HTTP/1.1" 200 7153
[14/Jul/2019 20:41:06] "GET /admin/jsi18n/ HTTP/1.1" 200 7800
[14/Jul/2019 20:41:08] "GET /admin/ HTTP/1.1" 200 8422
[14/Jul/2019 20:41:10] "GET /admin/rules/rulelist/2/change/ HTTP/1.1" 200 7153
[14/Jul/2019 20:41:10] "GET /admin/jsi18n/ HTTP/1.1" 200 7800
[14/Jul/2019 20:41:12] "GET /admin/ HTTP/1.1" 200 8422
[14/Jul/2019 20:41:14] "GET /admin/firetemplate/system/3/change/ HTTP/1.1" 200 5095
[14/Jul/2019 20:41:14] "GET /admin/jsi18n/ HTTP/1.1" 200 7800
[14/Jul/2019 20:41:16] "GET /admin/ HTTP/1.1" 200 8422
[14/Jul/2019 20:41:17] "GET /admin/rules/rulelist/2/change/ HTTP/1.1" 200 7153
[14/Jul/2019 20:41:17] "GET /admin/jsi18n/ HTTP/1.1" 200 7800
[14/Jul/2019 20:41:19] "GET /admin/ HTTP/1.1" 200 8422
[15/Jul/2019 08:44:19] "GET /admin/ HTTP/1.1" 302 0
[15/Jul/2019 08:44:19] "GET /admin/login/?next=/admin/ HTTP/1.1" 200 1652
[15/Jul/2019 08:44:19] "GET /static/admin/css/base.css HTTP/1.1" 200 16066
[15/Jul/2019 08:44:19] "GET /static/admin/css/login.css HTTP/1.1" 200 1203
[15/Jul/2019 08:44:19] "GET /static/admin/css/fonts.css HTTP/1.1" 200 423
Not Found: /favicon.ico
[15/Jul/2019 08:44:19] "GET /favicon.ico HTTP/1.1" 404 1992
[15/Jul/2019 08:44:19] "GET /static/admin/fonts/Roboto-Regular-webfont.woff HTTP/1.1" 200 80304
[15/Jul/2019 08:44:19] "GET /static/admin/fonts/Roboto-Light-webfont.woff HTTP/1.1" 200 81348
[15/Jul/2019 08:44:28] "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
[15/Jul/2019 08:44:28] "GET /admin/ HTTP/1.1" 200 8422
[15/Jul/2019 08:44:28] "GET /static/admin/css/dashboard.css HTTP/1.1" 200 412
[15/Jul/2019 08:44:28] "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
[15/Jul/2019 08:44:28] "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
[15/Jul/2019 08:44:28] "GET /static/admin/fonts/Roboto-Bold-webfont.woff HTTP/1.1" 200 82564
[15/Jul/2019 08:44:36] "GET /admin/firetemplate/system/add/ HTTP/1.1" 200 4851
[15/Jul/2019 08:44:36] "GET /static/admin/css/forms.css HTTP/1.1" 200 8173
[15/Jul/2019 08:44:36] "GET /static/admin/js/core.js HTTP/1.1" 200 7976
[15/Jul/2019 08:44:36] "GET /admin/jsi18n/ HTTP/1.1" 200 7800
[15/Jul/2019 08:44:36] "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 200 6591
[15/Jul/2019 08:44:36] "GET /static/admin/js/jquery.init.js HTTP/1.1" 200 363
[15/Jul/2019 08:44:36] "GET /static/admin/css/widgets.css HTTP/1.1" 200 10340
[15/Jul/2019 08:44:36] "GET /static/admin/js/actions.js HTTP/1.1" 200 6501
[15/Jul/2019 08:44:36] "GET /static/admin/js/urlify.js HTTP/1.1" 200 8186
[15/Jul/2019 08:44:36] "GET /static/admin/js/prepopulate.js HTTP/1.1" 200 1538
[15/Jul/2019 08:44:36] "GET /static/admin/js/change_form.js HTTP/1.1" 200 712
[15/Jul/2019 08:44:36] "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 200 258648
[15/Jul/2019 08:44:36] "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 200 495
[15/Jul/2019 08:44:36] "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 200 128820
[15/Jul/2019 08:44:40] "GET /admin/ HTTP/1.1" 200 8422
[15/Jul/2019 08:44:46] "GET /admin/rules/rulelist/add/ HTTP/1.1" 200 6835
[15/Jul/2019 08:44:47] "GET /admin/jsi18n/ HTTP/1.1" 200 7800
[15/Jul/2019 08:44:50] "GET /admin/hosts/host/add/?_to_field=id&_popup=1 HTTP/1.1" 200 6486
[15/Jul/2019 08:44:50] "GET /admin/jsi18n/ HTTP/1.1" 200 7800
